K,Dataset,Distance,Voting,Retention,Fold,Accuracy,Time_per_instance_ms,Reduction,Storage_percent,Train_size,Test_size,Instance_base_final_size
5,pen-based,Euclidean,BordaCount,NR,0,0.9963570127504554,44.56192917293973,ENN,99.30260764099454,9894,1098,9825
5,pen-based,Euclidean,BordaCount,NR,1,0.9936305732484076,45.07552525257392,ENN,99.32275346204386,9893,1099,9826
5,pen-based,Euclidean,BordaCount,NR,2,0.9927073837739289,45.79854489676824,ENN,99.28246589186458,9895,1097,9824
5,pen-based,Euclidean,BordaCount,NR,3,0.99,45.12455636804754,ENN,99.27213910230489,9892,1100,9820
5,pen-based,Euclidean,BordaCount,NR,4,0.9936247723132969,45.64480442818397,ENN,99.34303618354558,9894,1098,9829
5,pen-based,Euclidean,BordaCount,NR,5,0.994535519125683,45.350634986585604,ENN,99.24196482716798,9894,1098,9819
5,pen-based,Euclidean,BordaCount,NR,6,0.9936479128856625,45.21781108773122,ENN,99.31243680485339,9890,1102,9822
5,pen-based,Euclidean,BordaCount,NR,7,0.9918181818181818,45.39999918504195,ENN,99.35301253538212,9892,1100,9828
5,pen-based,Euclidean,BordaCount,NR,8,0.994535519125683,45.087430429371764,ENN,99.32282191227006,9894,1098,9827
5,pen-based,Euclidean,BordaCount,NR,9,0.9909255898366606,45.20468595023597,ENN,99.36299292214358,9890,1102,9827
